code,stock,concept,cause,thing,url,explain,title,dt
sz002232,启明信息,公告,年报增长（10派0.5元）+元宇宙+国资云+汽车EDR,,5l5yhzjtfm,"1、23年3月31日晚公告，公司2022年营收15.41亿元，同比增长46.61%；净利润7316.06万元，同比增长81.07%；公司拟每10股派发红利0.5元(含税)。,2、启明元宇宙技术探索平台，主要利用扩展现实技术和数字孪生技术手段，打造与现实世界相互映射的元宇宙技术平台。其中扩展现实技术主要包括AR、VR等技术。,3、启明云基础平台是依托启明数据中心基础硬件环境，具备完整云计算能力，面向政府、事业单位提供可扩展的弹性的云计算服务。,4、公司有成熟的EDR相关数据存储类产品。现有启明汽车行驶记录仪实现数据交换的数字式电子记录装置。公司与华为战略合作，合作探索车路协同联合解决方案，共建车联网平台。,5、 公司是国内汽车业IT行业龙头企业，深度介入一汽汽车旗下众多产业链（控股股东中国一汽），为其提供车载信息系统及配套产品和服务，全力支撑红旗品牌复兴战略。",04月04日启明信息股票异动解析,2023-04-04
sh603039,泛微网络,数字经济/人工智能,摘帽+国内OA行业龙头+腾讯+车辆租赁数据,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,5l5yhzlstj,"1、23年4月2日晚公告，公司申请撤销风险警示获交易所批准，证券简称变更为泛微网络。,2、协同办公是微软运用GPT技术最明确的变现场景；公司是国内OA行业龙头，办公场景入口优势明显，已拥有小e智能门户功能，未来接入GPT想象空间大。,3、公司与腾讯云、企业微信、腾讯支付、腾讯会议全面合作，腾讯持股4.89%，深度融入腾讯生态。,4、公司通过低代码为汽车租赁企业构建了“一站式、一体化”的数字化运营平台，确保正确及时派车，让车辆租赁管理更方便、清晰，让车辆租赁数据实时汇总、智能分析，挖掘价值。",04月04日泛微网络股票异动解析,2023-04-04
sh603000,人民网,数字经济/人工智能,数据确权+人工智能+互联网医疗+数据要素,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,3y61e441sq,"1、23年4月3日消息，西部数据系统受到骇客恶意攻击，并影响部分营业运作；此外盘后，国家市场监管总局、中央网信办、工业和信息化部、公安部近日联合印发《关于开展网络安全服务认证工作的实施意见》。公司打造人民网人工智能技术引擎，参股了人民中科（山东）智能技术，将中国科学院自动化研究所的人工智能技术与人民网的内容风控能力紧密结合。,2、人民网旗下人民数据管理，在2019年9月推出我国首个数据确权平台——人民数据资产服务平台。人民数据亮点：1）官网明确了确权服务流程；2）最近正在招聘数据确权相关人才；3）2021年6月，人民数据和世纪互联合作，推出了中国首个个人信息保护与确权服务平台——人民数保。,3、公司拥有人民好医生网络平台，开展互联网医疗工作。人民网智作平台由公司子公司人民网科技公司负责运营。灵境·人民艺术馆由人民网打造，该网上展馆将为艺术从业人员和爱好者提供数字化平台，为艺术品数字版权保护、数字出版、数字转化、区块链（人民链）认证等提供服务。,4、人民网是由人民日报社控股的上市公司。主要业务包括：广告及宣传服务业务：依托人民网官网、“人民网+”客户端以及环球网、海外网等子公司网络运营平台、活动及赛事服务平台，在网站、客户端、互动社区等页面、栏目上，通过文字链、图片、多媒体等表现形式为客户提供多维度的广告及宣传服务。",04月04日人民网股票异动解析,2023-04-04
sz002649,博彦科技,数字经济/人工智能,数据标注+360\u002F百度微软合作+金融服务,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,5l5yhzn16r,"1、23年4月3日网络纪要显示，公司为各互联网巨头提供语料、标注、训练等服务；随着人工智能的发展，数据标注业务有望快速放量。360数据处理主要依赖外部团队，与公司合作，主要包括数据采买和标注。,2、23年2月28日，博彦科技宣布接入百度文心一言，打造金融行业人工智能全系产品及服务。23年3月博彦科技与南大通用签署战略合作。,3、微软与OpenAI合作伙伴，公司与微软时间长，曾招聘bing后端开发与数据处理程序员；公司21年互动回复称已形成包括chatbot智能聊天机器人、智慧运维等方面的解决方案。,4、公司基于AI+BI融合、云智一体模式持续完善“智能金融决策大脑”底座，并形成企业级全资产智能审批平台、全资产一体化智能风险管理平台以及监管合规系列产品等三大系列智能金融风控产品矩阵。,5、公司是国内领先的综合IT服务提供商，主要业务涵盖产品及解决方案、研发工程服务和IT运营维护。公司主要客户包括大中型金融机构、互联网龙头公司及跨国高科技巨头公司等。",04月04日博彦科技股票异动解析,2023-04-04
sz300188,美亚柏科,数字经济/人工智能,视频图像鉴真+网络安全+电子数据取证,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,785vmv4y37,"1、23年3月31日，意大利个人数据保护局宣布，从即日起禁止使用CHATGPT。公司“慧眼”视频图像鉴真工作站已经发布，涵盖40余种视频图像真伪鉴定算法，为鉴定人员提供一站式视频图像检验鉴定服务，利用深度伪造技术进行换脸、美颜或异图复制篡改的影像具有十余种理想的鉴定效果。,2、公司乾坤大数据操作系统（QKOS）。以“九天揽月”的产品体系，支撑各行业大数据基础能力、领域中台、业务应用的快速构建。22年9月9日，美图公司与美亚柏科在厦门签署战略合作协议，共同推进网络及数据安全体系建设。,3、猎鹰浏览器是公司自主研发、服务特定客户的国产化浏览器。目前该产品的主要客户为司法机关和行政执法单位。,4、美亚柏科是国内电子数据取证行业龙头企业、公共安全大数据领先企业、网络空间安全与社会治理领域国家队。公司是国投智能的控股子公司，国投集团的重要投资企业，国务院国资委为公司实际控制人。",04月04日美亚柏科股票异动解析,2023-04-04
sh688023,安恒信息,数字经济/人工智能,AI安全+网络信息安全+大数据交易中心,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,2a64a8ljsh,"1、数据安全是数据要素市场化顺利开展的保障。公司在与央企合作伙伴的共同开拓下，参与了“一带一路”建设，为“一带一路”沿线国家输出多款公共安全产品和系统。公司有望在AI+安全的细分应用领域率先获益，叠加“一带一路”市场拓展，未来有望业绩高增。,2、23年2月讯，公司与崇左市大数据发展局达成战略合作，助力“数字崇左”建设。,3、公司主营业务为网络信息安全产品的研发、生产及销售，并为客户提供专业的网络信息安全服务。产品及服务涉及应用安全、云安全、大数据安全等领域。公司参股浙江大数据交易中心27%股权。,4、公司自2015年开始与阿里云合作，成为阿里云安全市场首批安全供应商，云安全产品已经上线包括阿里云、腾讯云、华为云等在内的十余家国内主流公有云平台。杭州阿里创投为公司第二大股东。",04月04日安恒信息股票异动解析,2023-04-04
sh688244,永信至诚,数字经济/人工智能,数据安全+股权激励+教育+次新股,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,2a64a8lnsj,"1、23年3月29日公司举办数据安全“数字风洞”产品发布会，正式推出面向数据安全领域的测试评估产品，在“形式合规”转向“实质合规”的行业背景下，开启安全风险测试评估由“证有”走向“证无”的崭新时代。,2、23年2月调研纪要显示，公司自主研发了国内首个人工智能网络安全攻防平台RHG，是人工智能在网络安全攻防领域具有创新性的、技术领先的竞赛平台；旗下I春秋以“培育信息时代的安全感”为使命。,3、23年4月1日公司发布股权激励计划草案，以22年营收为基数，23年-25年的业绩考核目标为营收分别不低于4.8亿元、5.8亿元、7.0亿元，2023年营收同比22年增长不低于45%。,4、公司是一家聚焦科技创新的网络安全企业，核心业务为网络靶场系列产品，后者是数字化建设过程中安全性测试的重要基础设施。,5、公司研发了网络空间平行仿真及攻防对抗类技术，并推出网络靶场系列产品、安全管控与蜜罐产品、安全工具类产品等。",04月04日永信至诚股票异动解析,2023-04-04
sh688521,芯原股份,数字经济/人工智能,半导体IP授权服务+Chiplet+微软AI,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,du5j3b5txs,"1、23年4月3日网传董事长演讲内容称，公司半导体IP授权业务收入全球第七，中国第一；半导体IP销售收入业务全球第六，IP数量种类全球第二。,2、公司已与全球领先的晶圆厂展开展 5nm Chiplet项目的合作，基于Arm的CPU IP Chiplet已进入芯片设计阶段，而NPU IP Chiplet已进入芯片设计及实现阶段。,3、23年3月22日讯，微软公司创始人比尔·盖茨在其博客文章《人工智能时代已经开启》，23年3月15日公司宣布与微软就Windows10IoT企业版操作系统开展合作，合作内容涵盖硬件加速器，以及对功能强大的嵌入式平台的长期支持。,4、公司最新一代的NPU IP支持最大32位浮点精度数据处理，多卷积运算核扩展后的可实现最高500TOPs的性能。ChatGPT可以利用NPU芯片推理加速。,5、公司拥有从先进的7nmFinFET到传统的250nmCMOS工艺节点芯片的设计能力，包括14nm\u002F10nm\u002F7nmFinFET和28nm\u002F22nmFD-SOI等先进工艺节点的芯片设计能力，并已开始进行5nmFinFET芯片的设计研发和新一代FD-SOI工艺节点芯片的设计预研。",04月04日芯原股份股票异动解析,2023-04-04
sz002777,久远银海,数字经济/人工智能,医保数据+AI医疗+政务信息化+民生信息化,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,fg5f76pj9s,"1、公司共承建了全国统一平台核心业务模块和22个医保省平台建设，公司可为下游需求公司提供服务，同时也可以获得相关数据授权，将数据加工处理后交付数据买方。后续统一的医保数据、社保数据、养老数据，也有望跟银行保险合作，持续收益于数据开放。,2、公司已在ICD编码智能推荐，智能导诊，医保零星报销单据智能录入，RPA流程机器人，档案图像增强，通用人脸识别及OCR工具等应用场景有落地应用。,3、公司参与了国家数字经济试点重大工程“健康医疗大数据应用创新工程”项目。已在机器视觉、自然语言等领域具备底层技术研发能力，在人脸识别等方面完成了AI技术研发和应用。,4、公司云业务包括政务云业务以及为部分云建设商提供运维服务，云计算及大数据一体化的建设和服务是公司重要业务之一。公司与浪潮合作建设与运营的成都市政务云已服务全市30多家政府部门，服务中也包含涉及算力的业务。",04月04日久远银海股票异动解析,2023-04-04
sh600996,贵广网络,数字经济/人工智能,东数西算+电视广播+贵州省酿酒业+文化传媒,国家发展改革委创新和高技术发展司负责人孙伟在国新办发布会上表示，适度超前部署数字基础设施建设。加快光纤网络扩容提速，5G的商用部署和规模应用，深入实施“东数西算”工程，加快基础设施数字化、智能化的改造。,2a64a8lc63,"1、23年4月3日讯，贵州发布《关于印发面向全国的算力保障基地建设规划的通知》，三年内算力提高超11倍，打造我国“东数西算”南线主干道。公司参股东数西算（贵州）产业30%股份，22年规划优先打通贵阳连接珠三角、长三角的直连链路。参股智广海联大数据技术有限公司20%股份；贵州是全国第一个（目前唯一的）智慧广电综合试验区，超高清视频、5G及人工智能等新技术也将在贵州先行先试。,2、公司主要从事广播电视网络的建设运营，主要业务包括广播电视节目收视服务、数字电视增值业务的开发与经营、数据业务、有线电视相关工程及安装、节目传输、终端销售等。,3、据企查查数据显示，23年12月22日，习酒完成市场主体类型及名称变更。公司控股股东贵州广播参股贵州省酿酒集团20%股份；公司董事会秘书曾任职于贵州茅台酒厂习酒公司。茅台集团是贵广网络第二大股东。,4、公司大力发展数字电视、高清互动、个人宽带等三网融合业务，元宇宙概念尚处于发展初期，公司深圳研发中心正积极进行新产品研发储备。贵州已率先实现全省700Mhz广电5G乡乡通，公司已为新老用户提供“192”号码预登记。",04月04日贵广网络股票异动解析,2023-04-04
